# Permission database for AdvancedLuckPermsGUI
# Format are <pluginName>|<permission>|<desc>|<commands>,|<defaultAssignment>
AAC|AAC.admin|View the admin control panel|<l>/aacadmin<br>/aacreload<l>|op
AAC|AAC.ban|Ban players.|<l>empty<l>|op
AAC|AAC.bypass|Bypass AAC's checks.|<l>empty<l>|op
AAC|AAC.debug|Debug a player's actions. (Save a detailed log file of what that player is doing)|<l>/aacdebug<l>|op
AAC|AAC.kick|Kill, kick and broadcast a message.|<l>/aackick<l>|op
AAC|AAC.notify|Send/recieve staff chat and aac's notifications. ( Send a message to all people with the AAC.notify permission. Will be called by the staff chat prefix.)|<l>/aacstaffnotify<l>|op
AAC|AAC.unban|Unban players banned by AAC.|<l>/aacunban<l>|op
AAC|AAC.verbose|Receive detailed information on suspected players.|<l>empty<l>|op
ASkyBlock|askyblock.*|This will give every admin and mod permission, but also permissions like exclusion from the top ten.|<l>empty<l>|op
ASkyBlock|askyblock.admin.*|Allow all permissions of the Admin permissions|<l>empty<l>|op
ASkyBlock|askyblock.admin.clearresetall|Allow clearing of island reset limit of all players|<l>/asadmin clearreset<l>|op
ASkyBlock|askyblock.admin.cobblestats|Displays magic cobble gen stats|<l>empty<l>|op
ASkyBlock|askyblock.admin.delete|Let a player completely remove a player (including island)|<l>/asadmin delete<l>|op
ASkyBlock|askyblock.admin.deleteisland|Let a player completely remove the island the player is on|<l>/asadmin deleteisland<br>/asadmin deleteisland confirm<l>|op
ASkyBlock|askyblock.admin.noban|Player cannot be banned from an island|<l>empty<l>|op
ASkyBlock|askyblock.admin.noburn|Gives admin immunity to acid|<l>empty<l>|op
ASkyBlock|askyblock.admin.purge|Let a player purge old islands.|<l>/asadmin purge<l>|op
ASkyBlock|askyblock.admin.register|Let a player createUser the nearest island to another player.|<l>/asadmin createUser<l>|op
ASkyBlock|askyblock.admin.reload|Reload the config.yml|<l>/asadmin reload<l>|op
ASkyBlock|askyblock.admin.reserve|Reserves an empty spot for a player's next island|<l>empty<l>|op
ASkyBlock|askyblock.admin.setlanguage|Resets all player languages and sets the default language|<l>empty<l>|op
ASkyBlock|askyblock.admin.setrange|Allows setting of island protection range|<l>/asadmin setrange<l>|op
ASkyBlock|askyblock.admin.setspawn|Allows use of spawn tools|<l>/asadmin setspawn<l>|op
ASkyBlock|askyblock.admin.settingsreset|Resets all the islands to default protection settings|<l>empty<l>|op
ASkyBlock|askyblock.admin.topbreeders|Lists most populated islands current loaded|<l>/asadmin topten<l>|op
ASkyBlock|askyblock.admin.unregister|Removes a player from an island without deleting the island blocks.|<l>/asadmin unregister<l>|op
ASkyBlock|askyblock.command.*|Event commands will not be run for players with this perm|<l>empty<l>|op
ASkyBlock|askyblock.command.challengeexempt|Player is exempt from commands run when a challenge is completed|<l>empty<l>|op
ASkyBlock|askyblock.command.leaveexempt|Player is exempt from commands run when they leave or are kicked. Note will not help if player is offline.|<l>empty<l>|op
ASkyBlock|askyblock.command.newexempt|Player is exempt from commands run when starting an island|<l>empty<l>|op
