AAC|ARROW
ASkyBlock|POPPY
ActionHealth|APPLE
Actionbar|STICK
AdminMode|IRON_SWORD
AdvancedAchievements|BOOK
AdvancedBan|BARRIER
AdvancedCraftingTable|CRAFTING_TABLE
AdvancedPortals|OBSIDIAN
AdvancedReplay|GLASS
AdvancedTags|NAME_TAG
AntiAFKPlus|POTATO
AntiAura|DIAMOND_SWORD
AntiAuraMessages|PAPER
AntiBotDeluxeEX|CREEPER_HEAD
AntiPhysics|SAND
AntiWorldFly|FEATHER
AreaShop|SIGN
ArmedArmorStands|ARMOR_STAND
AsyncWorldEdit|WOODEN_AXE
AuctionHouse|OAK_DOOR
AutoCast|NOTE_BLOCK
BannerBoard|ITEM_FRAME
Beast-XpWithDraw|EXPERIENCE_BOTTLE
BedWars|RED_BED
BentoBox|SHULKER_BOX
BetterBowTrails|BOW
BossShopPro|CHEST
BowHub|ENDER_PEARL
BuildBattle|OAK_PLANKS
Bukkit|LAVA_BUCKET
BuycraftX|EMERALD
CMI|OAK_SAPLING
Captcha|WRITEABLE_BOOK
ChatControl|WRITTEN_BOOK
ChatItem|RAIL
ChestCommands|COMMAND_BLOCK
ChestProtect|CHEST
ChestSort|CHEST
CityRP|BLACK_CONCRETE
ClanSystem|SHIELD
ClearLag|EGG
Coins|SUNFLOWER
CommandDoesNotExist|CACTUS
Confiscate|ENDER_EYE
CoreProtect|IRON_PICKAXE
CratesPlus|CHEST
CrazyCrates|CHEST
CrazyEnchantments|ENCHANTED_BOOK
CreditCard|PAPER
CustomEnderChest|ENDER_CHEST
CustomRecipe|PAPER
DailyRewards|CLOCK
DakataAntiCheat|DIAMOND_SWORD
DeathManager|TNT
DeluxeCombat|IRON_SWORD
DeluxePlayerOptions|PUMPKIN
DiceFurniture|FURNACE
DiscordMinecraft|GRASS_BLOCK
EZStaff|STICK
EasyMaintenance|CLOCK
EasyWarp|ENDER_PEARL
Eggwars|EGG
EnchantmentBook|ENCHANTED_BOOK
EnchantmentBookTool|ENCHANTED_BOOK
EpicDispensers|DISPENSER
EpicFarming|WHEAT
EpicFurnaces|FURNACE
EpicSpawners|SPAWNER
Essentials|GLASS_BOTTLE
Factions|BANNER
FactionsPet|SKELETON_SKULL
Factionstop|SNOWBALL
FarmLimiter|OAK_FENCE
FarmProtect|OAK_FENCE
FarmWorld|HAY_BLOCK
FastAsyncWorldEdit|IRON_AXE
